siruta,county,city,type,name
2595,ALBA,ACHIMETESTI,strada,Achimetesti
3413,ALBA,ACMARIU,strada,Acmariu
2327,ALBA,ALMASU DE MIJLOC,strada,Almasu De Mijloc
5595,ALBA,AMPOITA,strada,Ampoita
5595,ALBA,AMPOITA,strada,Cetate
5595,ALBA,AMPOITA,strada,Gheorghe Asachi
5595,ALBA,AMPOITA,strada,Poet Andrei Muresanu
5595,ALBA,AMPOITA,strada,Principala
8032,ALBA,ARTI,strada,Arti
5238,ALBA,ASINIP,strada,Principala
4785,ALBA,BABA,strada,Baba
7847,ALBA,BACAINTI,cale,Alba Iulia
7847,ALBA,BACAINTI,strada,Bacainti
7847,ALBA,BACAINTI,strada,Fenes
7847,ALBA,BACAINTI,strada,Principala
7847,ALBA,BACAINTI,strada,Progresului
7847,ALBA,BACAINTI,strada,Salviei
7847,ALBA,BACAINTI,strada,Valea Mica
5256,ALBA,BAGAU,strada,Bagau
5256,ALBA,BAGAU,strada,Principala
5121,ALBA,BALCACIU,strada,1 Decembrie 1918
5121,ALBA,BALCACIU,strada,22 Decembrie
5121,ALBA,BALCACIU,strada,Arinilor
5121,ALBA,BALCACIU,strada,Caprioara
5121,ALBA,BALCACIU,strada,Caprioarei
5121,ALBA,BALCACIU,strada,Cetate
5121,ALBA,BALCACIU,strada,Colinei
5121,ALBA,BALCACIU,strada,Crangului
5121,ALBA,BALCACIU,strada,Cringului
5121,ALBA,BALCACIU,strada,Deltei
5121,ALBA,BALCACIU,strada,Gheorghe Asachi
5121,ALBA,BALCACIU,strada,Gorunului
5121,ALBA,BALCACIU,strada,Izlazului
5121,ALBA,BALCACIU,strada,Mesteacanului
5121,ALBA,BALCACIU,strada,Noua
5121,ALBA,BALCACIU,strada,Parcului
5121,ALBA,BALCACIU,strada,Parc
5121,ALBA,BALCACIU,strada,Plopilor
5121,ALBA,BALCACIU,strada,Poet Andrei Muresanu
5121,ALBA,BALCACIU,strada,Principala
5121,ALBA,BALCACIU,strada,Salviei
5121,ALBA,BALCACIU,strada,Suseni
5121,ALBA,BALCACIU,piata,Tineretului
5121,ALBA,BALCACIU,strada,Viilor
5121,ALBA,BALCACIU,strada,Zefirului
5121,ALBA,BALCACIU,strada,Zlatna
5121,ALBA,BALCACIU,strada,Zorilor
3066,ALBA,BALESTI,strada,Balesti
3066,ALBA,BALESTI,strada,Fenes
7838,ALBA,BALOMIRU DE CAMP,strada,Arinilor
7838,ALBA,BALOMIRU DE CAMP,strada,Balomiru De Cimp
7838,ALBA,BALOMIRU DE CAMP,strada,Cimitirului
7838,ALBA,BALOMIRU DE CAMP,strada,Garii
7838,ALBA,BALOMIRU DE CAMP,strada,Gheorghe Asachi
7838,ALBA,BALOMIRU DE CAMP,strada,Molivei
7838,ALBA,BALOMIRU DE CAMP,strada,Morii De Jos
7838,ALBA,BALOMIRU DE CAMP,strada,Morii De Sus
7838,ALBA,BALOMIRU DE CAMP,strada,Morii
7838,ALBA,BALOMIRU DE CAMP,sosea,Nationala
7838,ALBA,BALOMIRU DE CAMP,strada,Postei
7838,ALBA,BALOMIRU DE CAMP,strada,Principala
7838,ALBA,BALOMIRU DE CAMP,strada,Progresului
7838,ALBA,BALOMIRU DE CAMP,strada,Saliste
7838,ALBA,BALOMIRU DE CAMP,strada,Stadionului
7838,ALBA,BALOMIRU DE CAMP,strada,Stejarului
7838,ALBA,BALOMIRU DE CAMP,strada,Vasile Lucaci
2158,ALBA,BARASTI,strada,Barasti
8041,ALBA,BARSANA,strada,Birsana
4384,ALBA,BENIC,strada,Caprioarei
4384,ALBA,BENIC,strada,Principala
4384,ALBA,BENIC,strada,Progresului
5247,ALBA,BETA,strada,Alunelului
5247,ALBA,BETA,strada,Beta
5247,ALBA,BETA,strada,Colinei
5247,ALBA,BETA,strada,Izvorului
5247,ALBA,BETA,strada,Podul Lui Paul
5247,ALBA,BETA,strada,Principala
4543,ALBA,BIHARIA,strada,Biharia
7892,ALBA,BIIA,cale,Alba Iulia
7892,ALBA,BIIA,strada,Noua
7892,ALBA,BIIA,strada,Principala
7892,ALBA,BIIA,strada,Scolii
7892,ALBA,BIIA,strada,Ungureni
7473,ALBA,BILANESTI,strada,Bilanesti
7473,ALBA,BILANESTI,strada,Galati
8452,ALBA,BOBARESTI (VIDRA),strada,Bobaresti
4044,ALBA,BOGLESTI,strada,Boglesti
4286,ALBA,BOZ,cale,Alba Iulia
4286,ALBA,BOZ,strada,Principala
4286,ALBA,BOZ,strada,Scolii
4945,ALBA,BUCERDEA VINOASA,strada,Bucerdea Vinoasa
4945,ALBA,BUCERDEA VINOASA,strada,Mierlei
4945,ALBA,BUCERDEA VINOASA,strada,Principala
4945,ALBA,BUCERDEA VINOASA,strada,Vasile Lucaciu
4945,ALBA,BUCERDEA VINOASA,strada,Vasile Lucaci
2167,ALBA,BUDAIESTI,strada,Budaiesti
6805,ALBA,BUNTA,strada,Bunta
4794,ALBA,BUTESTI (HOREA),strada,Butesti
5906,ALBA,BUTESTI (MOGOS),strada,Butesti
8853,ALBA,CAMPU GOBLII,strada,Cimpu Goblii
7115,ALBA,CAPALNA,strada,Capilna
7115,ALBA,CAPALNA,strada,De Sus
7115,ALBA,CAPALNA,strada,Fagetel
7115,ALBA,CAPALNA,strada,Gheorghe Asachi
7115,ALBA,CAPALNA,strada,Lunca Ghisii
7115,ALBA,CAPALNA,strada,Principala
7115,ALBA,CAPALNA,strada,Salviei
7115,ALBA,CAPALNA,strada,Sub Bulbuc
7115,ALBA,CAPALNA,strada,Viilor
5130,ALBA,CAPALNA DE JOS,strada,Capilna De Jos
5130,ALBA,CAPALNA DE JOS,strada,Principala
5130,ALBA,CAPALNA DE JOS,strada,Progresului
6066,ALBA,CAPTALAN,strada,Captalan
6066,ALBA,CAPTALAN,strada,Principala
4507,ALBA,CARPINIS (GARBOVA),strada,Principala
6814,ALBA,CARPINIS (ROSIA MONTANA),strada,Bisericii
6814,ALBA,CARPINIS (ROSIA MONTANA),strada,Carpinis
6814,ALBA,CARPINIS (ROSIA MONTANA),strada,Progresului
2425,ALBA,CASA DE PIATRA,strada,Principala
3501,ALBA,CERBU,strada,Cerbu
4393,ALBA,CETEA,strada,Cetate
4393,ALBA,CETEA,strada,Principala
3814,ALBA,CERGAU MARE,cale,Alba Iulia
3814,ALBA,CERGAU MARE,strada,Gheorghe Asachi
3814,ALBA,CERGAU MARE,strada,Grui
3814,ALBA,CERGAU MARE,strada,Principala
2345,ALBA,CHEILE CIBULUI,strada,Cheile Cibului
2354,ALBA,CIB,strada,Cib
2354,ALBA,CIB,strada,Galati
2354,ALBA,CIB,strada,Manarade
2354,ALBA,CIB,strada,Principala
2354,ALBA,CIB,strada,Trimpoiele
5728,ALBA,CISTEI,strada,Avram Iancu
5728,ALBA,CISTEI,strada,Cistei
5728,ALBA,CISTEI,strada,Gheorghe Asachi
5728,ALBA,CISTEI,strada,Morii
5728,ALBA,CISTEI,strada,Poet Andrei Muresanu
5728,ALBA,CISTEI,strada,Principala
5728,ALBA,CISTEI,strada,Principla
5728,ALBA,CISTEI,strada,Scolii
8176,ALBA,CIUGUDU DE JOS,strada,Principala
8185,ALBA,CIUGUDU DE SUS,strada,Principala
5274,ALBA,CIUGUZEL,strada,Gostatului
5274,ALBA,CIUGUZEL,strada,Principala
5274,ALBA,CIUGUZEL,strada,Viilor
3100,ALBA,CIULDESTI,strada,Ciuldesti
3100,ALBA,CIULDESTI,strada,Valea Mare
6182,ALBA,COLIBI,strada,Principala
6618,ALBA,COLTESTI,strada,Principala
6075,ALBA,COPAND,strada,Principala
6832,ALBA,CORNA,strada,Corna
7400,ALBA,COSLARIU,strada,Arinului
7400,ALBA,COSLARIU,strada,Blajului
7400,ALBA,COSLARIU,strada,Ciresului
7400,ALBA,COSLARIU,strada,Fenes
7400,ALBA,COSLARIU,strada,Principala
7400,ALBA,COSLARIU,strada,Princpala
2185,ALBA,COSTESTI (ALBAC),strada,Costesti
2185,ALBA,COSTESTI (ALBAC),strada,Valea Mica
6299,ALBA,COSTESTI (POIANA VADULUI),strada,Costesti
6299,ALBA,COSTESTI (POIANA VADULUI),strada,Dumbrava
3976,ALBA,CRACIUNELU DE SUS,strada,Sipot
4160,ALBA,CRAIVA,strada,Principala
7981,ALBA,CUNTA,strada,Cunta
7981,ALBA,CUNTA,strada,Garii
7981,ALBA,CUNTA,strada,Postei
7981,ALBA,CUNTA,strada,Principala
7981,ALBA,CUNTA,strada,Prncipala
7981,ALBA,CUNTA,strada,Scolii
4801,ALBA,DARLESTI,strada,Dirlesti
4133,ALBA,DEAL,strada,Principala
2443,ALBA,DEALU BAJULUI,strada,Dealu Bajului
4552,ALBA,DEALU FRUMOS (GARDA DE SUS),strada,Dealu Frumos
5005,ALBA,DEALU GEOAGIULUI,cale,Alba Iulia
5005,ALBA,DEALU GEOAGIULUI,strada,Dealu Geoagiului
5005,ALBA,DEALU GEOAGIULUI,strada,Principala
8498,ALBA,DEALU GOIESTI,strada,Dealu Goiesti
4561,ALBA,DEALU ORDANCUSII,strada,Dealu Ordincusii
5782,ALBA,DECEA,strada,Fostului C. A. P.
5782,ALBA,DECEA,strada,Garii
5782,ALBA,DECEA,strada,Principala
2201,ALBA,DEVE,strada,Deve
8050,ALBA,DOBRA,cale,Alba Iulia
8050,ALBA,DOBRA,strada,Primaverii
8050,ALBA,DOBRA,strada,Principala
8050,ALBA,DOBRA,strada,Regele Mihai I
8050,ALBA,DOBRA,strada,Salcamului
8050,ALBA,DOBRA,strada,Valtorilor
4570,ALBA,DOBRESTI,strada,Dobresti
1099,ALBA,DRAMBAR,cale,Alba Iulia
1099,ALBA,DRAMBAR,strada,Alunelului
1099,ALBA,DRAMBAR,strada,Caprioarei
1099,ALBA,DRAMBAR,strada,Doinei
1099,ALBA,DRAMBAR,strada,Drimbar
1099,ALBA,DRAMBAR,strada,Energiei
1099,ALBA,DRAMBAR,strada,Principala
1099,ALBA,DRAMBAR,strada,V. Lucaci
7990,ALBA,DRASOV,strada,A Iii-A
7990,ALBA,DRASOV,strada,A Iv-A
7990,ALBA,DRASOV,strada,G. Baritiu
7990,ALBA,DRASOV,strada,Principala
7124,ALBA,DUMBRAVA (SASCIORI),strada,Principala
8194,ALBA,DUMBRAVA (UNIREA),strada,Dumbrava
8194,ALBA,DUMBRAVA (UNIREA),strada,Principala
3903,ALBA,DUMBRAVITA,strada,Dumbravita
3903,ALBA,DUMBRAVITA,strada,Vasile Lucaci
7419,ALBA,DUMITRA,strada,Avintului
7419,ALBA,DUMITRA,strada,Dumitra
7419,ALBA,DUMITRA,strada,Principala
5381,ALBA,DUPA DEAL (LUPSA),strada,Dupa Deal
6315,ALBA,FAGETU DE JOS,strada,Fagetu De Jos
6324,ALBA,FAGETU DE SUS,strada,Fagetu De Sus
2229,ALBA,FATA,strada,Arinilor
2229,ALBA,FATA,strada,Fata
2229,ALBA,FATA,strada,Fenes
2229,ALBA,FATA,strada,Gheorghe Asachi
2229,ALBA,FATA,strada,Patringeni
2229,ALBA,FATA,strada,Progresului
2229,ALBA,FATA,strada,Rahau
2461,ALBA,FATA LAPUSULUI,strada,Fata Lapusului
5149,ALBA,FEISA,strada,Andrei Muresanu
5149,ALBA,FEISA,strada,Garii
5149,ALBA,FEISA,strada,Poet Andrei Muresanu
5149,ALBA,FEISA,strada,Principalaa
5149,ALBA,FEISA,strada,Principala
4810,ALBA,FERICET,strada,Fericet
6084,ALBA,GABUD,strada,Gabud
6084,ALBA,GABUD,strada,Principala
2470,ALBA,GALBENA,strada,Colinei
2470,ALBA,GALBENA,strada,Galbena
2470,ALBA,GALBENA,strada,Valea Steiului
4400,ALBA,GALDA DE SUS,strada,Galda De Sus
7428,ALBA,GALTIU,strada,Blajului
7428,ALBA,GALTIU,strada,Caprioara
7428,ALBA,GALTIU,strada,Doinei
7428,ALBA,GALTIU,strada,Galtiu
7428,ALBA,GALTIU,strada,Iazului
7428,ALBA,GALTIU,strada,Luminii
7428,ALBA,GALTIU,strada,Movilei
7428,ALBA,GALTIU,strada,Paunului
7428,ALBA,GALTIU,strada,Poet Andrei Muresanu
7428,ALBA,GALTIU,strada,Primaverii
7428,ALBA,GALTIU,strada,Primaveri
7428,ALBA,GALTIU,strada,Scolii
7428,ALBA,GALTIU,strada,Vale
7428,ALBA,GALTIU,strada,Vasile Lucaci
4598,ALBA,GARDA SEACA,strada,Girda Seaca
7794,ALBA,GEOAGIU DE SUS,strada,Andrei Muresanu
7794,ALBA,GEOAGIU DE SUS,strada,Ciocarliei
7794,ALBA,GEOAGIU DE SUS,strada,Geoagiu De Sus
7794,ALBA,GEOAGIU DE SUS,strada,Gheorghe Asachi
7794,ALBA,GEOAGIU DE SUS,strada,Principala
7794,ALBA,GEOAGIU DE SUS,strada,Progresului
7794,ALBA,GEOAGIU DE SUS,strada,Stremt
7794,ALBA,GEOAGIU DE SUS,strada,Vasile Lucaciu
6422,ALBA,GEOGEL,cale,Alba Iulia
6422,ALBA,GEOGEL,strada,Ogorului
6422,ALBA,GEOGEL,strada,Parcului
6422,ALBA,GEOGEL,strada,Principala
7801,ALBA,GEOMAL,strada,Geomal
7801,ALBA,GEOMAL,strada,Principala
3002,ALBA,GHIRBOM,strada,Cetatii
3002,ALBA,GHIRBOM,strada,Garii
3002,ALBA,GHIRBOM,strada,Luncii
3002,ALBA,GHIRBOM,strada,Principala
4829,ALBA,GIURGIUT,strada,Giurgiut
2363,ALBA,GLOD,strada,Glod
2363,ALBA,GLOD,strada,Principala
5327,ALBA,GURA ARIESULUI,strada,Mare
5327,ALBA,GURA ARIESULUI,strada,Mica
5327,ALBA,GURA ARIESULUI,strada,Principala
5327,ALBA,GURA ARIESULUI,strada,Viilor
7543,ALBA,GURA SOHODOL,strada,Gura Sohodol
5407,ALBA,HADARAU,strada,Hadarau
1115,ALBA,HAPRIA,strada,Alunelului
1115,ALBA,HAPRIA,strada,Cabanei
1115,ALBA,HAPRIA,strada,Hapria
1115,ALBA,HAPRIA,strada,Pinului
1115,ALBA,HAPRIA,strada,Principala
3011,ALBA,HENIG,strada,Principala
4320,ALBA,HERIA,strada,Fenes
4320,ALBA,HERIA,strada,Heria
4320,ALBA,HERIA,strada,Principala
3173,ALBA,HODISESTI,strada,Valea Mare
2489,ALBA,HODOBANA,strada,Hodobana
3182,ALBA,HUDRICESTI,strada,Principala
4954,ALBA,IGHIEL,strada,Albinei
4954,ALBA,IGHIEL,strada,Arinilor
4954,ALBA,IGHIEL,strada,Fanetei
4954,ALBA,IGHIEL,strada,Ighiel
4954,ALBA,IGHIEL,strada,Principala
4954,ALBA,IGHIEL,strada,Valea Mica
4954,ALBA,IGHIEL,strada,Vasile Lucaci
8201,ALBA,INOC,strada,Noua
8201,ALBA,INOC,strada,Principala
8201,ALBA,INOC,strada,Unirea
5032,ALBA,IVANIS,strada,Principala
7133,ALBA,LAZ (SASCIORI),strada,Laz
7133,ALBA,LAZ (SASCIORI),strada,Principala
7133,ALBA,LAZ (SASCIORI),strada,Vasile Lucaci
7259,ALBA,LAZESTI (SCARISOARA),strada,Lazesti
8274,ALBA,LAZESTI (VADU MOTILOR),strada,Lazesti
5425,ALBA,LAZURI (LUPSA),strada,Lazuri
7570,ALBA,LAZURI (SOHODOL),strada,Principala
6565,ALBA,LEORINT,strada,Campului
6565,ALBA,LEORINT,strada,Principala
6565,ALBA,LEORINT,strada,Progresului
6565,ALBA,LEORINT,strada,Scolii
7142,ALBA,LOMAN,strada,Dusila
7142,ALBA,LOMAN,strada,Poiana Babii
7142,ALBA,LOMAN,strada,Principala
5791,ALBA,LOPADEA VECHE,strada,Lopadea Veche
5791,ALBA,LOPADEA VECHE,strada,Principala
5611,ALBA,LUNCA AMPOITEI,strada,Lunca Ampoitei
5611,ALBA,LUNCA AMPOITEI,strada,Principala
5611,ALBA,LUNCA AMPOITEI,strada,Trimpoiele
8648,ALBA,LUNCA GOIESTI,strada,Lunca Goiesti
6137,ALBA,LUNCA LARGA (OCOLIS),strada,Lunca Larga
5434,ALBA,LUNCA (LUPSA),strada,Lunca
5620,ALBA,LUNCA METESULUI,strada,Ciocarliei
5620,ALBA,LUNCA METESULUI,strada,Lunca Metesului
5620,ALBA,LUNCA METESULUI,strada,Principala
5620,ALBA,LUNCA METESULUI,strada,Vale
6501,ALBA,LUNCA (POSAGA),strada,Lunca Ariesului
6501,ALBA,LUNCA (POSAGA),strada,Vasile Lucaci
7918,ALBA,LUNCA TARNAVEI,cale,Alba Iulia
7918,ALBA,LUNCA TARNAVEI,strada,Avram Iancu
7918,ALBA,LUNCA TARNAVEI,strada,Principala
8407,ALBA,LUNCA (VALEA LUNGA),strada,Paunului
8407,ALBA,LUNCA (VALEA LUNGA),strada,Principala
3832,ALBA,LUPU,strada,Lupu
3832,ALBA,LUPU,strada,Movilei
3832,ALBA,LUPU,strada,Principala
8210,ALBA,MAHACENI,strada,Gheorghe Asachi
8210,ALBA,MAHACENI,strada,Principala
5443,ALBA,MANASTIRE,strada,Principala
2782,ALBA,MARTESTI,strada,Ciot
2782,ALBA,MARTESTI,strada,Fenes
2782,ALBA,MARTESTI,strada,Martesti
2782,ALBA,MARTESTI,strada,Patringeni
2782,ALBA,MARTESTI,strada,Progresului
8078,ALBA,MARTINIE,cale,Alba Iulia
8078,ALBA,MARTINIE,strada,Arinilor
8078,ALBA,MARTINIE,strada,Avantului
8078,ALBA,MARTINIE,strada,Deltei
8078,ALBA,MARTINIE,strada,Luncii
8078,ALBA,MARTINIE,strada,Obrejii
8078,ALBA,MARTINIE,strada,Parcului
8078,ALBA,MARTINIE,strada,Principala
8078,ALBA,MARTINIE,strada,Valea Martiniei
7277,ALBA,MATEI,strada,Matei
4847,ALBA,MATISESTI (HOREA),strada,Matisesti
4847,ALBA,MATISESTI (HOREA),strada,N. V. Ursu
4847,ALBA,MATISESTI (HOREA),strada,Valea Arazii
4339,ALBA,MEDVES,strada,Felszeg
6574,ALBA,MESCREAC,strada,Principala
4437,ALBA,MESENTEA,strada,Andrei Muresanu
4437,ALBA,MESENTEA,strada,Poet Andrei Muresanu
4437,ALBA,MESENTEA,strada,Principala
5050,ALBA,MODOLESTI (INTREGALDE),strada,Modolesti
7623,ALBA,MUNESTI,strada,Munesti
4632,ALBA,MUNUNA,strada,Mununa
4632,ALBA,MUNUNA,strada,Valea Mica
5461,ALBA,MUSCA,strada,Stejarului
5461,ALBA,MUSCA,strada,Vai
2372,ALBA,NADASTIA,strada,Nadastia
7286,ALBA,NEGESTI,strada,Negesti
4856,ALBA,NICULESTI,strada,Niculesti
5737,ALBA,OBREJA,strada,Arinilor
5737,ALBA,OBREJA,strada,Morii
5737,ALBA,OBREJA,strada,Principala
4641,ALBA,OCOALE,strada,Izvorul Ampoiului
4641,ALBA,OCOALE,strada,Ocoale
5292,ALBA,ODVEREM,strada,Odverem
8684,ALBA,OIDESTI,strada,Oidesti
4446,ALBA,OIEJDEA,strada,Arinilor
4446,ALBA,OIEJDEA,strada,Clujului D. N. 1
4446,ALBA,OIEJDEA,strada,Clujului
4446,ALBA,OIEJDEA,strada,D. N. 1
4446,ALBA,OIEJDEA,strada,Fenes
4446,ALBA,OIEJDEA,strada,Gheorghe Asachi
4446,ALBA,OIEJDEA,strada,La Casaluica
4446,ALBA,OIEJDEA,strada,Oiejdea
4446,ALBA,OIEJDEA,strada,Principala
4446,ALBA,OIEJDEA,strada,Progresului
4446,ALBA,OIEJDEA,strada,Vasile Lucaci
6690,ALBA,OLTENI,strada,Progresului
6510,ALBA,ORASTI,strada,Principala
5808,ALBA,ORMENIS,strada,Principala
7375,ALBA,PANADE,strada,Panade
6360,ALBA,PASTESTI,strada,Fenes
6360,ALBA,PASTESTI,strada,Izvorul Ampoiului
6360,ALBA,PASTESTI,strada,Pastesti
4865,ALBA,PATRUSESTI,strada,Patrusesti
4874,ALBA,PETREASA,strada,Petreasa
6235,ALBA,PIANU DE JOS,strada,Aiudului
6235,ALBA,PIANU DE JOS,sosea,Alba Iulia-Cluj Napoca-Km. 11
6235,ALBA,PIANU DE JOS,strada,Arinilor
6235,ALBA,PIANU DE JOS,strada,Cetate
6235,ALBA,PIANU DE JOS,strada,Ciocarliei
6235,ALBA,PIANU DE JOS,strada,Closca
6235,ALBA,PIANU DE JOS,strada,Crisan
6235,ALBA,PIANU DE JOS,strada,Garofitei
6235,ALBA,PIANU DE JOS,strada,Gheorghe Asachi
6235,ALBA,PIANU DE JOS,strada,Horea
6235,ALBA,PIANU DE JOS,strada,Izvoarelor
6235,ALBA,PIANU DE JOS,drum,National 7
6235,ALBA,PIANU DE JOS,strada,Pianu De Jos
6235,ALBA,PIANU DE JOS,strada,Principala
6235,ALBA,PIANU DE JOS,strada,Vasile Lucaciu
6235,ALBA,PIANU DE JOS,strada,Vasile Lucaci
6226,ALBA,PIANU DE SUS,strada,Andrei Muresanu
6226,ALBA,PIANU DE SUS,strada,Arinilor
6226,ALBA,PIANU DE SUS,strada,Avantului
6226,ALBA,PIANU DE SUS,strada,Bisericii
6226,ALBA,PIANU DE SUS,strada,Brazilor
6226,ALBA,PIANU DE SUS,strada,Cetate
6226,ALBA,PIANU DE SUS,strada,Cornului
6226,ALBA,PIANU DE SUS,strada,Dupa Gradini
6226,ALBA,PIANU DE SUS,strada,Gaurii
6226,ALBA,PIANU DE SUS,strada,Gheorghe Baritiu
6226,ALBA,PIANU DE SUS,strada,Gradinii
6226,ALBA,PIANU DE SUS,strada,Gruete
6226,ALBA,PIANU DE SUS,strada,Gruiete
6226,ALBA,PIANU DE SUS,strada,Gruieti
6226,ALBA,PIANU DE SUS,strada,Haiducilor
6226,ALBA,PIANU DE SUS,strada,Macui
6226,ALBA,PIANU DE SUS,strada,Muresului
6226,ALBA,PIANU DE SUS,strada,Paunului
6226,ALBA,PIANU DE SUS,strada,Pe Vale
6226,ALBA,PIANU DE SUS,strada,Pianu De Sus
6226,ALBA,PIANU DE SUS,strada,Pinilor
6226,ALBA,PIANU DE SUS,strada,Poet Andrei Muresanu
6226,ALBA,PIANU DE SUS,strada,Principala
6226,ALBA,PIANU DE SUS,strada,Raului
6226,ALBA,PIANU DE SUS,strada,Scolii
6226,ALBA,PIANU DE SUS,strada,Stramturi
6226,ALBA,PIANU DE SUS,strada,Vasile Lucaciu
6226,ALBA,PIANU DE SUS,strada,Vasile Lucaci
6226,ALBA,PIANU DE SUS,strada,Viilor
2817,ALBA,PLAI (AVRAM IANCU),strada,Plai
4650,ALBA,PLAI (GARDA DE SUS),strada,Plai
2238,ALBA,PLESESTI,strada,Plesesti
5194,ALBA,POIANA AIUDULUI,strada,Principala
5648,ALBA,POIANA AMPOIULUI,strada,Poiana Ampoiului
5648,ALBA,POIANA AMPOIULUI,strada,Principala
3663,ALBA,POIENI (BUCIUM),strada,Valea Alba
8318,ALBA,POPESTII DE SUS,strada,Popestii De Sus
6477,ALBA,POSAGA DE JOS,strada,Belioara
6477,ALBA,POSAGA DE JOS,strada,Lunca Ariesului
6477,ALBA,POSAGA DE JOS,strada,Posaga De Jos
6477,ALBA,POSAGA DE JOS,strada,Posaga
6477,ALBA,POSAGA DE JOS,strada,Principala
2247,ALBA,POTIONCI,strada,Potionci
4883,ALBA,PRELUCA,strada,Preluca
5666,ALBA,PRESACA AMPOIULUI,strada,Presaca Ampoiului
5666,ALBA,PRESACA AMPOIULUI,strada,Principala
5666,ALBA,PRESACA AMPOIULUI,strada,Valea Mare
6253,ALBA,PURCARETI,strada,Principala
6253,ALBA,PURCARETI,strada,Progresului
7160,ALBA,RACHITA,strada,Principala
7160,ALBA,RACHITA,strada,Rachita
4516,ALBA,RECIU,strada,Garii
4516,ALBA,RECIU,strada,George Cosbuc
4516,ALBA,RECIU,strada,Movilei
4516,ALBA,RECIU,strada,Principala
2256,ALBA,ROGOZ,strada,Rogoz
2265,ALBA,ROSESTI,strada,Rosesti
6146,ALBA,RUNC (OCOLIS),strada,Runc
7302,ALBA,RUNC (SCARISOARA),strada,Runc
2274,ALBA,RUSESTI,strada,Dealul Roatei
2274,ALBA,RUSESTI,strada,Rusesti
2087,ALBA,RUSI,strada,Scolii
6538,ALBA,SAGAGEA,strada,Sagagea
6985,ALBA,SALCIUA DE JOS,sosea,Alba-Iulia-Cluj-Napoca
6985,ALBA,SALCIUA DE JOS,sosea,Blajului
6985,ALBA,SALCIUA DE JOS,strada,Cetate
6985,ALBA,SALCIUA DE JOS,strada,Movilei
6985,ALBA,SALCIUA DE JOS,strada,Principala
6985,ALBA,SALCIUA DE JOS,strada,Roine
7017,ALBA,SALCIUA DE SUS,strada,Andrei Muresanu
7017,ALBA,SALCIUA DE SUS,strada,Avantului
7017,ALBA,SALCIUA DE SUS,strada,Principala
7017,ALBA,SALCIUA DE SUS,strada,Progresului
7017,ALBA,SALCIUA DE SUS,strada,Sub Piatra
4348,ALBA,SANBENEDIC,strada,Arinilor
4348,ALBA,SANBENEDIC,strada,Principala
4348,ALBA,SANBENEDIC,strada,Scolii
1311,ALBA,SANCRAI,strada,Principala
7927,ALBA,SANMICLAUS,cale,Alba Iulia
7927,ALBA,SANMICLAUS,strada,Alunelului
7927,ALBA,SANMICLAUS,strada,Andrei Muresanu
7927,ALBA,SANMICLAUS,strada,Avantului
7927,ALBA,SANMICLAUS,strada,Brazilor
7927,ALBA,SANMICLAUS,strada,Campului
7927,ALBA,SANMICLAUS,strada,Cimitirului
7927,ALBA,SANMICLAUS,strada,Fenes
7927,ALBA,SANMICLAUS,strada,Garii
7927,ALBA,SANMICLAUS,strada,Garofitei
7927,ALBA,SANMICLAUS,strada,Hurubeni
7927,ALBA,SANMICLAUS,strada,Noua
7927,ALBA,SANMICLAUS,strada,Paunului
7927,ALBA,SANMICLAUS,strada,Poet Andrei Muresanu
7927,ALBA,SANMICLAUS,strada,Pompierilor
7927,ALBA,SANMICLAUS,strada,Potionci
7927,ALBA,SANMICLAUS,strada,Principala
7927,ALBA,SANMICLAUS,strada,Progresului
7927,ALBA,SANMICLAUS,strada,Viilor
7927,ALBA,SANMICLAUS,strada,Zugravilor
3985,ALBA,SANTAMARIE,strada,Principala
3985,ALBA,SANTAMARIE,strada,Sintamarie
7856,ALBA,SARACSAU,strada,Muresului
7856,ALBA,SARACSAU,strada,Principala
4963,ALBA,SARD,strada,A. Muresanu
4963,ALBA,SARD,cale,Alba Iulia
4963,ALBA,SARD,strada,Arinilor
4963,ALBA,SARD,strada,Berc
4963,ALBA,SARD,strada,Berg
4963,ALBA,SARD,strada,Buna Ziua
4963,ALBA,SARD,strada,Coasta
4963,ALBA,SARD,strada,Coastei
4963,ALBA,SARD,strada,Doinei
4963,ALBA,SARD,strada,Dupa Gradini
4963,ALBA,SARD,strada,Fagadaie
4963,ALBA,SARD,strada,Florilor
4963,ALBA,SARD,strada,Garofitei
4963,ALBA,SARD,strada,Gheorghe Asachi
4963,ALBA,SARD,strada,La Casaluica
4963,ALBA,SARD,strada,Lab
4963,ALBA,SARD,ulita,Mare
4963,ALBA,SARD,strada,Olteniei
4963,ALBA,SARD,strada,Olteni
4963,ALBA,SARD,strada,Popii
4963,ALBA,SARD,strada,Principala
4963,ALBA,SARD,strada,Progresului
4963,ALBA,SARD,strada,Sard
4963,ALBA,SARD,strada,Vasile Lucaci
4963,ALBA,SARD,strada,Viilor
4963,ALBA,SARD,strada,Zlatnei
4678,ALBA,SCOARTA,strada,Scoarta
7179,ALBA,SEBESEL,strada,Bran
7179,ALBA,SEBESEL,strada,Cetate
7179,ALBA,SEBESEL,strada,Cota
7179,ALBA,SEBESEL,strada,Cotia
7179,ALBA,SEBESEL,strada,Garii
7179,ALBA,SEBESEL,strada,Gruiet
7179,ALBA,SEBESEL,strada,Morii
7179,ALBA,SEBESEL,strada,Principala
7179,ALBA,SEBESEL,strada,Progresului
